No.,Ticker,②自己資本比率,⑤業界/セクター,⑧当期売上高,成長率(最新),成長率(1期前),成長率(2期前),⑨当期純利益,利益率,配当率,⑬フェアバリュー,⑭判定,⑮自作シグナル,⑯保有,更新日時
126,AMD,N/A,Technology / Semiconductors,37454000128,34.34%,13.69%,-3.90%,4335000000.0,11.57%,0.00%,107.87,割高,-,-,2026-06-12 02:49:36
127,NOW,N/A,Technology / Software - Application,13959999488,20.88%,22.44%,23.82%,1748000000.0,12.52%,0.00%,35.86,割高,-,-,2026-06-12 02:49:36
128,FISV,N/A, / ,21193000000.0,3.60%,7.14%,7.65%,3480000000.0,16.42%,0.00%,-,-,-,-,2026-06-12 02:49:36
129,MU,N/A,Technology / Semiconductors,58119000064,48.85%,61.59%,-49.48%,8539000000.0,14.69%,0.07%,402.64,割高,-,-,2026-06-12 02:49:36
130,AMAT,N/A,Technology / Semiconductor Equipment & Materials,29024000000,4.39%,2.49%,2.84%,6998000000.0,24.11%,0.43%,104.96,割高,-,-,2026-06-12 02:49:36
131,LRCX,N/A,Technology / Semiconductor Equipment & Materials,21681844224,23.68%,-14.48%,1.17%,5358217000.0,24.71%,0.32%,38.95,割高,-,-,2026-06-12 02:49:36
132,ADSK,N/A,Technology / Software - Application,7506999808,17.53%,11.53%,9.83%,1124000000.0,14.97%,0.00%,69.63,割高,-,-,2026-06-12 02:49:36
133,PANW,N/A,Technology / Software - Infrastructure,10606499840,14.87%,16.46%,25.29%,1133900000.0,10.69%,0.00%,56.14,割高,-,-,2026-06-12 02:49:36
134,IBM,N/A,Technology / Information Technology Services,68910997504,7.62%,1.44%,2.20%,10593000000.0,15.37%,2.48%,102.93,割高,-,-,2026-06-12 02:49:36
135,INTU,N/A,Technology / Software - Application,20924999680,15.63%,13.34%,12.90%,3869000000.0,18.49%,1.69%,215.09,適正,-,-,2026-06-12 02:49:36
136,HPQ,N/A,Technology / Computer Hardware,57416998912,3.24%,-0.30%,-14.61%,2529000000.0,4.40%,4.86%,-,-,-,-,2026-06-12 02:49:36
137,CRM,N/A,Technology / Software - Application,42829000704,9.58%,8.72%,11.18%,7457000000.0,17.41%,1.03%,120.9,割高,-,-,2026-06-12 02:49:36
138,ACN,N/A,Technology / Information Technology Services,72110325760,7.36%,1.22%,4.09%,7678433000.0,10.65%,3.82%,130.26,割高,-,-,2026-06-12 02:49:36
139,ADBE,N/A,Technology / Software - Application,24452999168,10.53%,10.80%,10.24%,7130000000.0,29.16%,0.00%,129.55,割高,-,-,2026-06-12 02:49:36
140,SAP,N/A,Technology / Software - Application,37341999104,7.68%,9.51%,5.72%,7161000000.0,19.18%,1.72%,99.64,割高,-,-,2026-06-12 02:49:36
141,SNOW,N/A,Technology / Software - Application,5032822784,29.16%,29.21%,35.86%,-1331616000.0,-26.46%,0.00%,18.38,割高,-,-,2026-06-12 02:49:36
142,TEAM,N/A,Technology / Software - Application,6190182912,19.66%,23.31%,26.11%,-256687000.0,-4.15%,0.00%,28.92,割高,-,-,2026-06-12 02:49:36
143,NET,N/A,Technology / Software - Infrastructure,2328604928,29.85%,28.76%,32.97%,-102267000.0,-4.39%,0.00%,12.32,割高,-,-,2026-06-12 02:49:36
144,CRWD,N/A,Technology / Software - Infrastructure,5094199808,21.71%,29.39%,36.33%,-162502000.0,-3.19%,0.00%,50.6,割高,-,-,2026-06-12 02:49:36
145,ZS,N/A,Technology / Software - Infrastructure,3173563904,23.31%,34.07%,48.22%,-41478000.0,-1.31%,0.00%,38.91,割高,-,-,2026-06-12 02:49:36
146,OKTA,N/A,Technology / Software - Infrastructure,2996000000,11.84%,15.33%,21.80%,235000000.0,7.84%,0.00%,61.55,割高,-,-,2026-06-12 02:49:36
147,MDB,N/A,Technology / Software - Infrastructure,2602398976,22.79%,19.22%,31.07%,-71151000.0,-2.73%,0.00%,77.82,割高,-,-,2026-06-12 02:49:36
148,DDOG,N/A,Technology / Software - Application,3672030976,27.68%,26.12%,27.06%,107741000.0,2.93%,0.00%,26.79,割高,-,-,2026-06-12 02:49:36
149,SHOP,N/A,Technology / Software - Application,12366000128,30.14%,25.78%,26.07%,1231000000.0,9.95%,0.00%,22.45,割高,-,-,2026-06-12 02:49:36
150,KLAC,N/A,Technology / Semiconductor Equipment & Materials,13096660992,23.89%,-6.51%,13.94%,4061643000.0,31.01%,0.43%,224.72,割高,-,-,2026-06-12 02:49:36
151,SNPS,N/A,Technology / Software - Infrastructure,8679379968,15.12%,15.22%,15.22%,1332220000.0,15.35%,0.00%,248.46,割高,-,-,2026-06-12 02:49:36
152,CDNS,N/A,Technology / Software - Application,5528612864,14.12%,13.48%,14.83%,1108888000.0,20.06%,0.00%,70.88,割高,-,-,2026-06-12 02:49:36
153,MCHP,N/A,Technology / Semiconductors,4713099776,7.08%,-42.35%,-9.53%,230000000.0,4.88%,2.07%,33.05,割高,-,-,2026-06-12 02:49:36
154,ON,N/A,Technology / Semiconductors,6063000064,-15.35%,-14.19%,-0.88%,121000000.0,2.00%,0.00%,42.29,割高,-,-,2026-06-12 02:49:36
155,MPWR,N/A,Technology / Semiconductors,2957090048,26.43%,21.20%,1.50%,621483000.0,21.02%,0.54%,225.37,割高,-,-,2026-06-12 02:49:36
156,GFS,N/A,Technology / Semiconductors,6840000000,0.61%,-8.69%,-8.83%,885000000.0,12.94%,0.64%,34.76,割高,-,-,2026-06-12 02:49:36
157,NXPI,N/A,Technology / Semiconductors,12615000064,-2.74%,-4.99%,0.54%,2021000000.0,16.02%,1.42%,130.98,割高,-,-,2026-06-12 02:49:36
158,MRVL,N/A,Technology / Semiconductors,8717100032,42.09%,4.71%,-6.96%,2670100000.0,30.63%,0.10%,53.75,割高,-,-,2026-06-12 02:49:36
159,ASML,N/A,Technology / Semiconductor Equipment & Materials,33692700672,15.58%,2.56%,30.16%,9609400000.0,28.52%,0.51%,34.74,割高,-,-,2026-06-12 02:49:36
160,ARM,N/A,Technology / Semiconductors,4920000000,22.79%,23.94%,20.68%,904000000.0,18.37%,0.00%,23.18,割高,-,-,2026-06-12 02:49:36
161,FSLR,N/A,Technology / Solar,5419047936,24.09%,26.75%,26.70%,1528229000.0,28.20%,0.00%,220.14,適正,-,-,2026-06-12 02:49:36
162,ENPH,N/A,Technology / Solar,1399800960,10.72%,-41.92%,-1.72%,172133000.0,12.30%,0.00%,21.34,割高,-,-,2026-06-12 02:49:36
163,TEL,N/A,Technology / Electronic Components,18695999488,8.94%,-1.18%,-1.52%,1842000000.0,9.85%,1.44%,113.49,割高,-,-,2026-06-12 02:49:36
164,MSI,N/A,Technology / Communication Equipment,11868000256,8.00%,8.41%,9.50%,2154000000.0,18.15%,1.18%,79.86,割高,-,-,2026-06-12 02:49:36
